optimizer,learning_rate,accuracy,run
Nadam,0.060,0.7260273694992065,8
Nadam,0.070,0.7397260069847107,8
Adam,0.001,0.8767123222351074,9
Adam,0.002,0.7945205569267273,9
Adam,0.003,0.8493150472640991,9
Adam,0.005,0.8082191944122314,9
Adam,0.010,0.835616409778595,9
Adam,0.015,0.5890411138534546,9
Adam,0.020,0.8630136847496033,9
Adam,0.030,0.7123287916183472,9
Adam,0.040,0.7260273694992065,9
Adam,0.050,0.42465752363204956,9
Adam,0.060,0.42465752363204956,9
Adam,0.070,0.6849315166473389,9
SGD,0.001,0.42465752363204956,9
SGD,0.002,0.5753424763679504,9
SGD,0.003,0.6027397513389587,9
SGD,0.005,0.6438356041908264,9
SGD,0.010,0.6438356041908264,9
SGD,0.015,0.6301369667053223,9
SGD,0.020,0.6712328791618347,9
SGD,0.030,0.6712328791618347,9
